label,place,nn,nn_place,nn_km
Dominican_Republic_Archaic_(n=1),Dominican Republic,Argentina_Arroyo_Seco_II_7700BP_(n=4),"Arroyo Seco 2, Tres Arroyos, Buenos Aires, Argentina",6435.0
Brazil_Jabuticabeira_II_2400BP_(n=15),"Jabuticabeira II, Jaguaruna, Santa Catarina, Brazil",Cuba_Ceramic_(n=32),Cuba,6426.0
Brazil_Cabecuda_3400BP_(n=2),"Cabecuda, Laguna, Santa Catarina, Brazil",Cuba_Ceramic_(n=32),Cuba,6420.0
Brazil_Sambaqui_do_Limao_1850BP_(n=3),"Sambaqui do Limao, southeastern Brazil coast",Belize_Mayahak_Cab_Pek_5500BP_(n=1),"Mayahak Cab Pek, Bladen Nature Reserve, Belize",6405.0
Brazil_Laranjeiras_I_4300BP_(n=3),"Laranjeiras I, Santa Catarina, Brazil",Cuba_Ceramic_(n=32),Cuba,6382.0
Mongolia_EUP_Salkhit_(n=1),"Salkhit, Norovlin, Khentii, Mongolia",Bulgaria_IUP_Bacho_Kiro_(n=3),"Bacho Kiro cave, Dryanovo, Bulgaria",6382.0
France_IA2_La_Tene_Hauts-de-France_(Northwest_Euro_Profile)_(low_res)_(n=1),"Hauts-de-France, France",USA_Maryland_Early_Modern_St._Mary's_City_English_(n=2),"St. Mary's City, Maryland, USA",6159.0
Brazil_Sambaqui_do_Limao_Pre-Colonial_(n=1),"Sambaqui do Limao, southeastern Brazil coast",Cuba_Ceramic_(n=32),Cuba,6154.0
Romania_Late_Antiquity_Hun_(Hun_Elite_Profile)_(n=1),Western Romania (Crisana),Mongol_Mongolia_(n=54),"Ulaanbaatar, Mongolia",6103.0
Mongol_Mongolia_(n=54),"Ulaanbaatar, Mongolia",Romania_Late_Antiquity_Hun_(Hun_Elite_Profile)_(n=1),Western Romania (Crisana),6103.0
Mongolia_IA_Xiongnu_Early_o2_(n=1),Mongolia,Hungary_Early_Medieval_Avar_Period_Early_(Avar_Profile)_(n=27),"Danube-Tisza interfluve, Hungary",6096.0
Buryatia_IA_Xiongnu_Late_(n=8),"Buryatia, Russia",Hungary_Early_Medieval_Avar_Period_Early_(Avar_Profile)_(n=27),"Danube-Tisza interfluve, Hungary",6035.0
Puerto_Rican_(n=5),"San Juan, Puerto Rico",Uruguayan_Mestizo_(n=1),"Montevideo, Uruguay",6027.0
Uruguayan_Mestizo_(n=1),"Montevideo, Uruguay",Puerto_Rican_(n=5),"San Juan, Puerto Rico",6027.0
Cochin_Jew_o_(n=2),"Kochi, Kerala, India",Roma_Turkey_Balkans_(n=1),Edirne / Turkish Thrace,5982.0
Hungary_Late_Antiquity_Hun_Elite_(n=1),Hungary,Kazakh_Gansu_(n=8),"Aksai Kazakh Autonomous County, Gansu, China",5848.0
Saint_Martin_Early_Modern_(West_African_Profile)_(n=1),"Saint Martin, Caribbean",Mende_Sierra_Leone_(n=8),"Bo, Sierra Leone",5653.0
Chile_Los_Rieles_5100BP_(n=1),"Los Rieles, Coquimbo, Chile",Puerto_Rico_Ceramic_(n=18),Puerto Rico,5599.0
Indonesia_Sulawesi_Toalean_Leang_Panninge_(n=1),"Leang Panninge, Maros, South Sulawesi, Indonesia",Ni-Vanuatu_(European-Mixed)_(n=2),"Port Vila, Vanuatu",5462.0
England_Bell_Beaker_o_(low_res)_(n=1),England,USA_Pennsylvania_Early_Modern_Shohola_Creek_(Northwest_Euro_Profile)_(n=1),"Shohola Creek, Pike County, Pennsylvania, USA",5462.0
Mongol_Inner_Mongolia_(Outer_Mongolia_Profile)_(n=8),"Inner Mongolia, China",Kalmyk_(n=5),"Elista, Kalmykia, Russia",5329.0
Tofalar_o_(n=1),"Tofalaria, Nizhneudinsky, Irkutsk, Russia",Hungary_Early_Medieval_Conqueror_Period_(Early_Magyar-Mixed_Profile)_o2_(n=4),Hungary,5315.0
India_Uttarakhand_Late_Modern_Roopkund_(Balkan_Greek_Profile)_(n=2),"Roopkund Lake, Uttarakhand, India",Greek_Peloponnese_Messenia_Outer_Mani_(n=25),"Kardamyli, Outer Mani, Messenia, Greece",5298.0
Serbia_Roman_Empire-Late_Antiquity_Viminacium_Pirivoj_(East_Med_Profile)_(n=1),"Viminacium, Kostolac, Serbia",India_Uttarakhand_Late_Modern_Roopkund_(Aegean_Greek_Profile)_(n=8),"Roopkund Lake, Uttarakhand, India",5285.0
Sakha_MN_Onnyos_(n=1),"Onnyos, Central Sakha Republic, Russia",Greenland_Paleo-Eskimo_Saqqaq_(n=1),"Saqqaq, Disko Bay, Greenland",5280.0
French_Canadian_(n=6),"Quebec City, Quebec, Canada",French_(n=64),"Paris, France",5274.0
Ukraine_Late_Medieval_Crimean_Khanate_(Nogai)_Mamay-Gora_(Mongol_Profile)_(n=2),"Mamai-Hora, Velyka Znamianka, Zaporizhzhia oblast, Ukraine",Mongol_Mongolia_(n=54),"Ulaanbaatar, Mongolia",5208.0
Hungary_Late_Antiquity_Hun_(Hun_Elite_Profile)_(n=1),Hungary,Mongol_Xinjiang_(n=8),"Bayingolin Mongol Autonomous Prefecture, Xinjiang, China",5140.0
Chukchi_(European-Mixed)_(n=1),"Anadyr, Chukotka, Russia",Greenlander_West_(European-Mixed)_(n=7),"Nuuk, West Greenland",5133.0
Greece_Late_Modern_Crete_Adele_(n=16),"Adele, Rethymno, Crete, Greece",India_Uttarakhand_Late_Modern_Roopkund_(Aegean_Greek_Profile)_(n=8),"Roopkund Lake, Uttarakhand, India",5121.0
India_Uttarakhand_Late_Modern_Roopkund_(Aegean_Greek_Profile)_(n=8),"Roopkund Lake, Uttarakhand, India",Greek_Crete_Muslim_(Cretan_Turk)_(n=5),"Crete, Greece (Cretan Muslims)",5101.0
China_Qinghai_Early_Medieval_Tubo_Dulan_o_(n=1),"Dulan, Qinghai, China",Ukraine_Early_Medieval_Saltovo-Mayaki_(Alan)_Verkhnii_Saltiv_(Central_Asian_Turkic_Profile)_(n=2),"Verkhnii Saltiv, Kharkiv oblast, Ukraine",5046.0
Primorye_N_Letuchaya_Mysh_(n=1),"Letuchaya Mysh Cave, Primorsky Krai, Russia",Kazakh_(n=20),Kazakhstan,5037.0
Evenk_o1_(n=1),"Tura, Evenkia, Krasnoyarsk Krai, Russia",Hungary_Early_Medieval_Avar_Period_Middle/Late_(Avar_Profile)_(n=9),"Danube-Tisza interfluve, Hungary",5008.0
Sakha_UP_Yana_(n=2),"Yana RHS, Sakha Republic, Russia",Russia_Voronezh_UP_Aurignacian_Kostenki_(n=1),"Kostenki, Voronezh Oblast, Russia",4940.0
Greenland_Early_Medieval_Viking_Age_Western_Settlement_(Early_Norse)_(Norse_Profile)_(low_res)_(n=1),"Western Settlement (Sandnes), Greenland",Ukraine_Late_Antiquity_Chernyakhiv_Shyshaky_(Northwest_Euro_Profile)_(n=2),"Shyshaky, Poltava oblast, Ukraine",4923.0
Mongolia_IA_Xiongnu_Late_(Iranian_Plateau_Profile)_(n=1),Mongolia,Iran_LBA_Hasanlu_(Iranian_Plateau_Profile)_(n=1),"Hasanlu, West Azerbaijan, Iran",4912.0
Iran_LBA_Hasanlu_(Iranian_Plateau_Profile)_(n=1),"Hasanlu, West Azerbaijan, Iran",Mongolia_IA_Xiongnu_Late_(Iranian_Plateau_Profile)_(n=1),Mongolia,4912.0
Xinjiang_IA_Pazyryk_Tuwaxingcun_(n=1),"Tuwa village, Burqin, Altay, Xinjiang, China",Hungary_Early_Medieval_Avar_Period_Late_(Avar_Profile)_(n=3),"Danube-Tisza interfluve, Hungary",4903.0
Cochin_Jew_Paradesi_(n=6),"Mattancherry, Kochi, Kerala, India",Lebanese_Arab_Muslim_Sunni_Dinniyeh_(n=6),"Dinniyeh, North Governorate, Lebanon",4902.0
Greenlander_East_(n=4),"Tasiilaq, East Greenland",Chukotka_Old_Bering_Sea_Uelen_(n=4),"Uelen, Chukotka, Russia",4877.0
Vanuatu_2000BP_(n=1),"Efate, Vanuatu",Alor_(n=23),"Alor Island, Indonesia",4839.0
Bolivia_Putuni_Tiwanaku_1200BP_(n=1),"Putuni, Tiwanaku, Bolivia",Mexico_Classic_Maya_Chichen_Itza_(n=32),"Chichen Itza, Yucatan, Mexico",4675.0
Kazakhstan_IA_Sarmatian_Tengyz_(n=1),"Tengiz Lake, Akmola Region, Kazakhstan",Sicily_Classical_Battle_of_Himera_480_BCE_Greek_Forces_o3_(Steppe_Iranic_Profile)_(n=2),"Himera, Sicily, Italy",4497.0
Chile_Los_Rieles_10900BP_(n=1),"Los Rieles, Coquimbo, Chile",Venezuela_Ceramic_(n=8),Venezuela,4475.0
Romania_High_Medieval_Ploiesti_Triaj_(Turkic_Profile)_(n=1),"Ploiesti Triaj, Prahova County, Romania",Kazakhstan_IA_Xianbei-Hun_Berel_(n=4),"Berel, East Kazakhstan",4471.0
Kazakhstan_Late_Antiquity_Aktas_(n=1),"Aktas, Almaty Region, Kazakhstan",Hungary_Late_Antiquity_Hun_(Hun_Elite_Profile)_(n=1),Hungary,4446.0
Mongolia_EBA_Afanasievo_(n=1),"Mongolian Altai, Mongolia",Moldova_EBA_Yamnaya_(n=14),Moldova,4440.0
Peru_Kaillachuro_(n=1),"Kaillachuro, Lake Titicaca, Peru",Maya_Tzotzil_(n=17),"Chiapas highlands (San Cristobal), Mexico",4407.0
Abkhazia_Late_Modern_Tkhina_(Chari_River_Profile)_(n=1),"Tkhina, Ochamchira, Abkhazia",Laal_(n=1),"Gori/Damtar, Moyen-Chari, Chad",4377.0
Bolivia_Monolito_Descabezado_Tiwanaku_1000BP_(n=1),"Tiwanaku, La Paz, Bolivia",Cuba_Ceramic_(n=32),Cuba,4373.0
Vanuatu_2900BP_(n=5),"Teouma, Efate, Vanuatu",Guam_Latte_Naton_(n=61),"Naton Beach, Tumon, Guam",4328.0
Belize_Saki_Tzul_4900BP_(n=1),"Saki Tzul, Bladen Nature Reserve, Belize",Bolivia_Miraflores_1100BP_(n=3),"Miraflores, La Paz, Bolivia",4316.0
Surinamese_Creole_(n=1),"Paramaribo, Suriname",Manjak_Gambia_o_(n=2),"Banjul area, Gambia (Manjak community)",4309.0
Peru_Cuzco_Qotakalli_LH_(n=4),"Cusco, Peru",Bahamas_Ceramic_(n=28),Bahamas,4256.0
Greek_Central_Anatolia_(n=1),"central Anatolia, Turkey",India_Uttarakhand_Late_Modern_Roopkund_(Central_Anatolian_Greek_Profile)_(n=1),"Roopkund Lake, Uttarakhand, India",4250.0
Tongan_(n=6),"Nuku'alofa, Tonga",Pohnpei_Nan_Madol_Saudeleur_Period_(n=7),"Nan Madol, Pohnpei, Micronesia",4245.0
Kazakhstan_LBA_Katon_Karagai_(n=1),"Katon-Karagai, East Kazakhstan",Romania_CA-LBA_Glavanesti_(n=2),"Glavanestii Vechi, Botosani County, Romania",4222.0
Romania_CA-LBA_Glavanesti_(n=2),"Glavanestii Vechi, Botosani County, Romania",Kazakhstan_LBA_Katon_Karagai_(n=1),"Katon-Karagai, East Kazakhstan",4222.0
Peru_Chincha_LH_(n=6),"Chincha, Peru",Bahamas_Ceramic_(n=28),Bahamas,4217.0
Xinjiang_EBA_Afanasievo_Tian_Shan_o_(n=1),"Tian Shan (Ili), Xinjiang, China",Moldova_EBA_Yamnaya_(n=14),Moldova,4175.0
India_Uttarakhand_Late_Modern_Roopkund_(Central_Anatolian_Greek_Profile)_(n=1),"Roopkund Lake, Uttarakhand, India",Greek_Cappadocia_Kaisareia_(n=11),"Kayseri (Kaisareia), Cappadocia, Turkey",4121.0
Ukraine_LBA_Belozerskaya_(n=2),"Bilozerka, lower Dnieper, Kherson oblast, Ukraine",Krasnoyarsk_MLBA_Andronovo_Orak_(n=10),"Orak, Krasnoyarsk Krai, Russia",4088.0
Czechia_Bell_Beaker_Early_(n=3),"Bohemia, Czechia",Kazakhstan_MLBA_Andronovo_(Alakul)_Maitan_(n=7),"Maitan, Karaganda Region, Kazakhstan",4062.0
Anatolia_Hellenistic-Roman_Republic_Samsun_(East_Med-Anatolian_Profile)_(n=1),"Samsun, Turkey",India_Uttarakhand_Late_Modern_Roopkund_(Central_Anatolian_Greek_Profile)_(n=1),"Roopkund Lake, Uttarakhand, India",4056.0
Peru_Cuncaicha_9000BP_(n=1),"Cuncaicha, Arequipa, Peru",Belize_Mayahak_Cab_Pek_5500BP_(n=1),"Mayahak Cab Pek, Bladen Nature Reserve, Belize",4008.0
