label,core
Berber_Morocco_Central_Atlas_Tamazight_Errachidia_(Intermediate_Hartani_Profile)_(n=1),Berber_Morocco_Central_Atlas_Tamazight_Errachidia
Berber_Morocco_Eastern_Middle_Atlas_Tamazight_(n=3),Berber_Morocco_Eastern_Middle_Atlas_Tamazight
Berber_Morocco_Riffian_(n=29),Berber_Morocco_Riffian
Berber_Morocco_Senhaja_de_Srair_(n=1),Berber_Morocco_Senhaja_de_Srair
Berber_Morocco_Shilha_(n=21),Berber_Morocco_Shilha
Berber_Morocco_Shilha_Ait_Atta_(n=6),Berber_Morocco_Shilha_Ait_Atta
Berber_Morocco_Shilha_Ouarzazate_(n=6),Berber_Morocco_Shilha_Ouarzazate
Berber_Morocco_Shilha_Ouarzazate_(Intermediate_Hartani_Profile)_(n=6),Berber_Morocco_Shilha_Ouarzazate
Berber_Morocco_Shilha_Tiznit_(n=11),Berber_Morocco_Shilha_Tiznit
Berber_Morocco_Shilha_Tiznit_(Intermediate_Hartani_Profile)_(n=2),Berber_Morocco_Shilha_Tiznit
Berber_Morocco_Shilha_Tiznit_o_(n=1),Berber_Morocco_Shilha_Tiznit
Berber_Tunisia_East_Zenati_Chenini_(n=18),Berber_Tunisia_East_Zenati_Chenini
Berber_Tunisia_East_Zenati_Djerba_(n=3),Berber_Tunisia_East_Zenati_Djerba
Berber_Tunisia_East_Zenati_Matmata_(n=13),Berber_Tunisia_East_Zenati_Matmata
Berber_Tunisia_East_Zenati_Matmata_(Intermediate_Shwashin_Profile)_(n=1),Berber_Tunisia_East_Zenati_Matmata
Berber_Tunisia_East_Zenati_Sened_(n=17),Berber_Tunisia_East_Zenati_Sened
Berber_Tunisia_East_Zenati_Tamezret_(n=10),Berber_Tunisia_East_Zenati_Tamezret
Berber_Tunisia_East_Zenati_Zraoua_(n=15),Berber_Tunisia_East_Zenati_Zraoua
Besermyan_(n=6),Besermyan
Beta_Israel_(Ethiopian_Jew)_(n=6),Beta_Israel_(Ethiopian_Jew)
Bezhta_(n=15),Bezhta
Bezhta_(Transcaucasian_Profile)_(n=1),Bezhta
Bhojpuri_Kshatriya_(n=4),Bhojpuri_Kshatriya
Bhojpuri_Kshatriya_o_(n=1),Bhojpuri_Kshatriya
Bhumij_(n=2),Bhumij
Bhunjia_Chhattisgarh_(n=1),Bhunjia_Chhattisgarh
Biaka_(n=7),Biaka
Bihari_Brahmin_Bhumihar_(n=4),Bihari_Brahmin_Bhumihar
Bihari_Kayastha_(n=1),Bihari_Kayastha
Birhor_(n=18),Birhor
Bitonga_(n=17),Bitonga
Blang_(n=13),Blang
Blang_o_(n=2),Blang
Bolivian_Cochabamba_(n=1),Bolivian_Cochabamba
Bolivian_La_Paz_(n=3),Bolivian_La_Paz
Bolivian_Pando_(n=1),Bolivian_Pando
Bolivian_Pando_(Mestizo_Profile)_(n=2),Bolivian_Pando
Bonan_(n=40),Bonan
Bonda_(n=3),Bonda
Bosniak_(n=16),Bosniak
Bosniak_Croatia_(n=7),Bosniak_Croatia
Bosniak_Sandzak_(n=6),Bosniak_Sandzak
Botlikh_(n=15),Botlikh
Botlikh_o_(n=2),Botlikh
Bouyei_Guizhou_Guanling_(n=44),Bouyei_Guizhou_Guanling
Bouyei_Guizhou_Guanling_o_(n=4),Bouyei_Guizhou_Guanling
Brahui_(n=20),Brahui
Braj_Brahmin_Kanyakubja_(n=2),Braj_Brahmin_Kanyakubja
Brazilian_Branco_(n=15),Brazilian_Branco
Brazilian_Pardo_(n=3),Brazilian_Pardo
Breton_(n=4),Breton
Breton_Cotes-d'Armor_(n=8),Breton_Cotes-d'Armor
Breton_Finistere_(n=17),Breton_Finistere
Breton_Ille-et-Vilaine_(n=5),Breton_Ille-et-Vilaine
Breton_Ille-et-Vilaine_Rennes_(n=31),Breton_Ille-et-Vilaine_Rennes
Breton_Loire-Atlantique_(n=5),Breton_Loire-Atlantique
Breton_Morbihan_(n=6),Breton_Morbihan
Bukharian_Jew_(n=21),Bukharian_Jew
Bulala_(n=2),Bulala
Bulgarian_(n=13),Bulgarian
Bunu_Baiku_Yao_(n=20),Bunu_Baiku_Yao
Bunu_Changshan_Yao_(n=19),Bunu_Changshan_Yao
Bunu_Qing_Yao_(n=19),Bunu_Qing_Yao
Burusho_(n=20),Burusho
Buryat_(n=23),Buryat
Buryat_Aginsky_(n=11),Buryat_Aginsky
Buryat_Duldurginsky_(n=4),Buryat_Duldurginsky
Buryat_Irkutsk_(n=11),Buryat_Irkutsk
Buryat_Khorinsky_(n=5),Buryat_Khorinsky
Buryat_Mongolia_(n=2),Buryat_Mongolia
Buryat_Mongolia_(low_res)_(n=23),Buryat_Mongolia
Buryat_o1_(n=1),Buryat
Buryat_o2_(n=1),Buryat
Buryat_o3_(n=1),Buryat
Buryat_Zakamensky_(n=6),Buryat_Zakamensky
Cachi_(n=4),Cachi
Cajun_(n=2),Cajun
Cambodian_(n=3),Cambodian
Cameroonian_Bafut_(n=11),Cameroonian_Bafut
Cameroonian_Bantu_(n=50),Cameroonian_Bantu
Cameroonian_Semi-Bantu_(n=50),Cameroonian_Semi-Bantu
Cashibo_(n=6),Cashibo
Catalan_Pyrenees-Orientales_(n=1),Catalan_Pyrenees-Orientales
Central_Uttar_Pradeshi_Brahmin_Lucknow_(n=8),Central_Uttar_Pradeshi_Brahmin_Lucknow
Central_Uttar_Pradeshi_Brahmin_Lucknow_o_(n=2),Central_Uttar_Pradeshi_Brahmin_Lucknow
Chamalal_(n=11),Chamalal
Chamorro_(European-Mixed)_(n=1),Chamorro_(European-Mixed)
Chane_(n=1),Chane
Changana_(n=9),Changana
Chechen_(n=15),Chechen
Chenchu_(n=3),Chenchu
Chewa_Malawi_(n=111),Chewa_Malawi
Chhattisgarhi_Satnami_(n=1),Chhattisgarhi_Satnami
Chin_(n=43),Chin
Chin_o_(n=2),Chin
Chipewyan_(n=2),Chipewyan
Chitak_Greece_Eastern_Macedonia_and_Thrace_(n=1),Chitak_Greece_Eastern_Macedonia_and_Thrace
Choctaw_(n=1),Choctaw
Chopi_(n=13),Chopi
Chukchi_(n=5),Chukchi
Chukchi_(European-Mixed)_(n=1),Chukchi_(European-Mixed)
Chuvash_(n=13),Chuvash
Chuvash_o1_(n=1),Chuvash
Chuvash_o2_(n=1),Chuvash
Circassian_Adyghe_(n=14),Circassian_Adyghe
Circassian_Kabardian_(n=38),Circassian_Kabardian
Cochin_Jew_(n=6),Cochin_Jew
Cochin_Jew_o_(n=2),Cochin_Jew
Cochin_Jew_Paradesi_(n=6),Cochin_Jew_Paradesi
Colla_(n=3),Colla
Colombian_Mestizo_(n=3),Colombian_Mestizo
Coloured_(n=18),Coloured
Coloured_o1_(n=4),Coloured
Coloured_o2_(n=1),Coloured
Coloured_o3_(n=1),Coloured
Coloured_o4_(n=1),Coloured
Comorian_(n=1),Comorian
Cornish_(n=15),Cornish
Corsican_(n=14),Corsican
Corsican_Corse-du-Sud_(n=1),Corsican_Corse-du-Sud
Cree_(European-Mixed)_(n=4),Cree_(European-Mixed)
Crimean_Tatar_Steppe_(n=4),Crimean_Tatar_Steppe
Crimean_Tatar_Steppe_Dobruja_(n=1),Crimean_Tatar_Steppe_Dobruja
Croat_(n=25),Croat
Croat_Bosnia_(n=5),Croat_Bosnia
Croat_Dalmatia_(n=10),Croat_Dalmatia
Croat_Herzegovina_(n=5),Croat_Herzegovina
Croat_Kajkavian_Northern_Croatia_(n=7),Croat_Kajkavian_Northern_Croatia
Croat_Slavonia_(n=1),Croat_Slavonia
Cuban_Blanco_(n=10),Cuban_Blanco
Cypriot_Arab_Maronite_(n=2),Cypriot_Arab_Maronite
Czech_(n=21),Czech
Dai_(n=3),Dai
Daju_Nyala_(Gemar)_(n=4),Daju_Nyala_(Gemar)
Daju_Nyala_(Gemar)_o1_(n=1),Daju_Nyala_(Gemar)
Daju_Nyala_(Gemar)_o2_(n=1),Daju_Nyala_(Gemar)
Daju_Sudan_(n=17),Daju_Sudan
Daju_Sudan_o1_(n=3),Daju_Sudan
Daju_Sudan_o2_(n=1),Daju_Sudan
Daju_Sudan_o3_(n=1),Daju_Sudan
Daju_Sudan_o4_(n=3),Daju_Sudan
Dakhni_Muslim_Hyderabad_(n=3),Dakhni_Muslim_Hyderabad
Damara_(n=8),Damara
