label,core
Anatolia_Late_Antiquity_Bogazkoy_(Mesopotamian/Armenian_Highland_Profile)_(n=1),Anatolia_Late_Antiquity_Bogazkoy
Anatolia_Late_Antiquity_Samsun_(East_Med-Anatolian_Profile)_(n=1),Anatolia_Late_Antiquity_Samsun
Anatolia_Late_Antiquity_Samsun_o_(Steppe_Iranic_Profile)_(n=2),Anatolia_Late_Antiquity_Samsun
Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Nicaea_(Balkan/Western_Anatolian_Greek_Profile)_(n=1),Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Nicaea
Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Nicaea_(East_Med-Anatolian_Profile)_(n=3),Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Nicaea
Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Nicaea_(Southeast_Anatolian_Profile)_(n=1),Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Nicaea
Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Zeytinliada_(East_Med-Anatolian_Profile)_(n=1),Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Zeytinliada
Anatolia_Late_Medieval_Capalibag_(Turkish_Profile)_(n=2),Anatolia_Late_Medieval_Capalibag
Anatolia_Late_Medieval-Early_Modern_Capalibag_(Turkish_Profile)_(n=5),Anatolia_Late_Medieval-Early_Modern_Capalibag
Anatolia_LCA_Arslantepe_(n=18),Anatolia_LCA_Arslantepe
Anatolia_LCA_Barcin_(n=1),Anatolia_LCA_Barcin
Anatolia_LCA_Camlibel_Tarlasi_(n=12),Anatolia_LCA_Camlibel_Tarlasi
Anatolia_LCA_Ikiztepe_(n=9),Anatolia_LCA_Ikiztepe
Anatolia_LCA_Ilipinar_(n=3),Anatolia_LCA_Ilipinar
Anatolia_LCA-EBA_Ulucak_(n=1),Anatolia_LCA-EBA_Ulucak
Anatolia_LN_Kumtepe_(low_res)_(n=2),Anatolia_LN_Kumtepe
Anatolia_MBA_Cine-Tepecik_(n=1),Anatolia_MBA_Cine-Tepecik
Anatolia_MBA_Izmir_Yassitepe_(n=1),Anatolia_MBA_Izmir_Yassitepe
Anatolia_Mesolithic_Pinarbasi_(n=1),Anatolia_Mesolithic_Pinarbasi
Anatolia_MLBA_Kaman-Kalehoyuk_(n=4),Anatolia_MLBA_Kaman-Kalehoyuk
Anatolia_MLBA_Kaman-Kalehoyuk_(low_res)_(n=1),Anatolia_MLBA_Kaman-Kalehoyuk
Anatolia_N_Aceramic_Asikli_Hoyuk_(n=3),Anatolia_N_Aceramic_Asikli_Hoyuk
Anatolia_N_Aceramic_Boncuklu_(n=6),Anatolia_N_Aceramic_Boncuklu
Anatolia_N_Aceramic_Musular_(n=2),Anatolia_N_Aceramic_Musular
Anatolia_N_Ceramic_Aktopraklik_(n=1),Anatolia_N_Ceramic_Aktopraklik
Anatolia_N_Ceramic_Barcin_(n=22),Anatolia_N_Ceramic_Barcin
Anatolia_N_Ceramic_Barcin_(low_res)_(n=3),Anatolia_N_Ceramic_Barcin
Anatolia_N_Ceramic_Catalhoyuk_(n=27),Anatolia_N_Ceramic_Catalhoyuk
Anatolia_N_Ceramic_Catalhoyuk_(low_res)_(n=24),Anatolia_N_Ceramic_Catalhoyuk
Anatolia_N_Ceramic_Ilipinar_(n=2),Anatolia_N_Ceramic_Ilipinar
Anatolia_N_Ceramic_Mentese_(n=4),Anatolia_N_Ceramic_Mentese
Anatolia_N_Ceramic_Tepecik_Ciftlik_(n=4),Anatolia_N_Ceramic_Tepecik_Ciftlik
